"","D_KL","log.p.vals","log.p.adj"
"Col1a1",0.0388013874014281,-96.4555731604271,-92.3242111713111
"Ptn",0.049140047083213,-93.0773299981479,-88.945968009032
"Cdh11",0.0356985801339737,-92.6610163027305,-88.5296543136145
"Col3a1",0.0306866234965842,-91.4863101789719,-87.3549481898559
"Col5a2",0.0313404628190173,-89.9789089552709,-85.847546966155
"Ptprd",0.0274903843365731,-87.3897310813037,-83.2583690921877
"Cped1",0.0389557732194319,-86.9635210496912,-82.8321590605753
"Postn",0.0333042431225426,-86.5808112083374,-82.4494492192214
"Cacna1g",0.0510270439199476,-86.1933605715151,-82.0619985823992
"Fbn2",0.0278844235507468,-85.7104578312781,-81.5790958421621
"Aspn",0.059147716193559,-85.6394699095985,-81.5081079204825
"Thbs2",0.0390565538213117,-84.6762302308483,-80.5448682417323
"Vcan",0.0341889453000103,-84.6592435665148,-80.5278815773989
"Igfbp5",0.041683914306009,-84.5765119821702,-80.4451499930542
"Zeb2",0.0354339371562849,-84.1972147815024,-80.0658527923865
"Col4a1",0.0373153103634147,-83.5419910578091,-79.4106290686931
"Prrx1",0.0322031570780292,-80.2185695327583,-76.0872075436424
"Robo2",0.0277227302833784,-79.5668761966541,-75.4355142075382
"Igfbp4",0.0475291643483185,-79.1513103260737,-75.0199483369578
"Slit2",0.0344702911152351,-79.1238054465079,-74.9924434573919
"Marcks",0.0399060084605843,-78.5144946744662,-74.3831326853503
"Pard3b",0.020898901724663,-77.8458480323925,-73.7144860432765
"Cnmd",0.0209108512142926,-77.6937021984042,-73.5623402092882
"Nfib",0.0208357655270819,-77.6782018039137,-73.5468398147977
"Zfp36l1",0.0295170061280662,-77.646623273662,-73.5152612845461
"Prickle2",0.0300240898444482,-77.4566845682418,-73.3253225791259
"Plcl1",0.0421597151520507,-77.4152103647915,-73.2838483756755
"Col9a3",0.020033463707456,-77.394083893855,-73.2627219047391
"Meis2",0.0749824448352249,-77.3712346063483,-73.2398726172324
"Col9a1",0.0194802284451717,-77.307730432268,-73.1763684431521
"Col1a2",0.0139215750288655,-77.1070774512659,-72.97571546215
"Rbms3",0.0165365317046693,-76.7960588833472,-72.6646968942313
"Col11a2",0.0182548773047787,-76.7275245641984,-72.5961625750825
"Col9a2",0.0187287307682144,-76.3175455412125,-72.1861835520965
"Nrp2",0.0257614015099049,-75.5181211420693,-71.3867591529533
"Pdgfrb",0.0427042680010584,-75.4499673907581,-71.3186054016421
"Gulp1",0.0382972342933346,-75.2623658004582,-71.1310038113422
"Matn1",0.0248756108120472,-75.2552846905512,-71.1239227014353
"Hapln1",0.0173566073495608,-74.9447218800228,-70.8133598909069
"Eln",0.0369785913579237,-74.9300762177427,-70.7987142286267
"Tmtc2",0.0265303743142547,-74.8884170194017,-70.7570550302858
"Lamb1",0.0365009526130883,-74.339046237947,-70.2076842488311
"Hmcn1",0.0284690305923695,-74.1874306144611,-70.0560686253452
"Adamts2",0.0486262020407682,-73.8102613404235,-69.6788993513075
"Igf1",0.0690972019182807,-73.5555508956791,-69.4241889065631
"Susd5",0.0223091766619708,-73.2042169161116,-69.0728549269957
"Arhgap28",0.041253476714504,-72.9559355154532,-68.8245735263372
"Svil",0.0170170637686342,-72.7720575795629,-68.640695590447
"Ssbp2",0.0192522432823632,-72.5088294171887,-68.3774674280727
"Meltf",0.0256001480129596,-72.4648661675944,-68.3335041784785
