mouse_id,age,genotype,sex,ISS,SOS
K7595/11,AT,Bmp2 ctrl,F,1,1
K7597/13,AT,Bmp2 cko,F,1,1
K7598/14,AT,Bmp2 ctrl,M,2,1
K7600/22,AT,Bmp2 ctrl,M,1,1
K7601/23,AT,Bmp2 cko,M,3,2
K7612/12,AT,Bmp7 ctrl,F,1,1
K7613/13,AT,Bmp7 ctrl,F,3,1
K7614/14,AT,Bmp7 cko,F,1,1
K7615/23,AT,Bmp7 ctrl,F,1,1
K7616/24,AT,Bmp7 cko,M,1,1
K7653/21,AT,Bmp2 cko,F,3,2
K7663/12,AT,Bmp2 ctrl,F,1,1
K7664/13,AT,Bmp2 cko,F,3,3
K7665/14,AT,Bmp2 ctrl,M,2,2
K7666/21,AT,Bmp2 cko,M,3,1
K7667/22,AT,Bmp2 cko,M,1,3
K7690/24,AT,Bmp7 ctrl,M,2,2
K7691/11,AT,Bmp7 ctrl,M,1,2
K7692/12,AT,Bmp7 cko,M,3,2
K7693/13,AT,Bmp7 cko,M,1,1
K7881/11,AT,Bmp7 ctrl,F,1,1
K7882/12,AT,Bmp7 cko,F,1,2
K7883/13,AT,Bmp7 ctrl,F,,
K7884/14,AT,Bmp7 ctrl,F,,
K7885/21,AT,Bmp7 ctrl,M,1,2
K7886/22,AT,Bmp7 cko,M,3,2
K7898/2,AT,Bmp7 cko,F,1,1
K7899/3,AT,Bmp7 ctrl,F,2,1
K7900/30,AT,Bmp7 cko,F,3,3
K7901/20,AT,Bmp7 cko,F,3,1
K7902/4,AT,Bmp7 ctrl,M,1,1
K7903/5,AT,Bmp7 ctrl,M,1,1
K7713/13,PT10,Bmp7 ctrl,F,1,1
K7714/14,PT10,Bmp7 cko,F,1,1
K7715/24,PT10,Bmp7 ctrl,F,1,1
K7716/11,PT10,Bmp7 ctrl,F,1,1
K7718/32,PT10,Bmp7 cko,M,1,1
K7719/33,PT10,Bmp7 ctrl,M,1,1
K7742/42,PT10,Bmp2 ctrl,F,1,1
K7743/43,PT10,Bmp2 ctrl,F,1,1
K7744/44,PT10,Bmp2 cko,F,2,2
K7745/12,PT10,Bmp2 cko,F,1,1
K7746/13,PT10,Bmp2 ctrl,M,1,1
K7747/14,PT10,Bmp2 cko,M,2,1
K7951/11,PT10,Bmp2 ctrl,M,1,1
K7952/21,PT10,Bmp2 ctrl,M,1,2
K7954/41,PT10,Bmp2 ctrl,M,,
K7955/12,PT10,Bmp2 ctrl,F,2,2
K7729/11,PT5,Bmp2 ctrl,F,1,1
K7730/21,PT5,Bmp2 ctrl,F,1,1
K7731/31,PT5,Bmp2 cko,M,2,1
K7732/41,PT5,Bmp2 cko,F,1,1
K7733/33,PT5,Bmp2 cko,F,1,1
K7734/34,PT5,Bmp2 cko,F,1,1
K7983/11,PT5,Bmp2 cko,M,2,1
K7984/21,PT5,Bmp2 ctrl,M,1,1
K7985/31,PT5,Bmp2 cko,F,1,1
K7986/41,PT5,Bmp2 ctrl,M,1,1
K7987/12,PT5,Bmp2 ctrl,F,2,1
K7988/22,PT5,Bmp2 ctrl,M,1,1
K7989/32,PT5,Bmp2 ctrl,F,1,1
K8123/11,PT5,Bmp2 ctrl,M,,
K8124/21,PT5,Bmp2 ctrl,M,1,1
K8125/31,PT5,Bmp2 ctrl,F,,
K8248/11,PT5,Bmp7 cko,F,2,1
K8249/21,PT5,Bmp7 ctrl,F,1,1
K8250/31,PT5,Bmp7 cko,F,3,2
K8251/41,PT5,Bmp7 ctrl,F,1,2
K8252/12,PT5,Bmp7 cko,M,3,1
K8292/31,PT5,Bmp7 cko,F,,
K8293/41,PT5,Bmp7 ctrl,M,,
K8294/12,PT5,Bmp7 ctrl,M,,
K8349/11,PT5,Bmp2 ctrl,M,,
K8350/21,PT5,Bmp2 cko,M,,
K8351/31,PT5,Bmp2 cko,F,,
K8352/41,PT5,Bmp2 ctrl,F,,
K8353/12,PT5,Bmp2 ctrl,F,,
K8354/22,PT5,Bmp2 ctrl,F,,
K8356/42,PT5,Bmp2 ctrl,M,,
